KEY	DT_OPERACAO	VLR_RENDA_LIQUIDA	GRAU_DE_INSTRUCAO	VLR_SOLICITADO	VLR_PARCELA	UF	SEXO	QTD_PARCELAS	PRODUTO	ALVO	IDADE	SCORE
921	29/09/2016	440.00	ANALFABETO                                                                                          	989.25	215.50	PB	F	12	7831	0	49	64.42
922	30/08/2016	731.14	ENSINO MEDIO COMPLETO                                                                               	350.00	97.70	SP	M	8	7817	0	39	45.54
923	12/07/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	992.59	255.90	AL	F	12	7817	0	47	55.50
924	11/07/2016	577.11	ENSINO MEDIO COMPLETO                                                                               	1268.50	255.18	RJ	F	12	7770	0	71	75.25
925	29/07/2016	577.10	ENSINO MEDIO COMPLETO                                                                               	733.17	168.98	PE	F	12	7770	1	24	13.32
926	22/06/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	1068.76	254.41	PB	M	12	7770	1	55	58.49
927	10/03/2016	1312.36	ENSINO MEDIO COMPLETO                                                                               	1463.23	310.02	SP	F	12	7770	1	60	59.14
928	28/10/2016	5151.60	EDUCACAO SUPERIOR INCOMPLETO                                                                        	5000.00	1198.32	PE	F	12	7770	0	66	17.19
929	23/09/2016	598.50	ANALFABETO                                                                                          	1102.21	250.53	CE	M	12	7770	0	47	53.41
930	05/05/2016	1300.36	ENSINO MEDIO INCOMPLETO                                                                             	2210.28	578.37	SP	F	12	7817	0	65	47.24
931	28/07/2016	853.51	ENSINO MEDIO COMPLETO                                                                               	552.16	127.53	PE	M	12	7770	1	56	76.79
932	16/08/2016	573.90	EDUCACAO SUPERIOR COMPLETO                                                                          	800.00	165.27	RS	F	12	7770	1	72	79.99
933	26/08/2016	643.80	ENSINO MEDIO COMPLETO                                                                               	1211.21	266.09	CE	F	12	7770	1	80	74.66
934	18/07/2016	880.00	ENSINO FUNDAMENTAL COMPLETO                                                                         	1902.63	389.11	RS	F	12	7770	1	35	25.16
935	06/10/2016	536.01	ENSINO MEDIO COMPLETO                                                                               	854.76	212.88	AL	F	12	7770	0	58	84.31
936	17/10/2016	880.00	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	1888.59	386.84	PE	F	12	7770	0	61	53.82
937	30/05/2016	572.00	4 SERIE COMPLETA DO ENSINO FUNDAMENTAL                                                              	700.00	150.47	PE	F	12	7817	0	34	63.34
938	18/04/2016	880.00	ANALFABETO                                                                                          	1882.22	386.84	AL	M	12	7770	0	57	49.07
939	02/06/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	1183.74	255.90	PE	F	12	7770	0	67	82.30
940	28/04/2016	572.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	424.12	93.40	SP	F	12	7770	0	58	64.83
941	30/09/2016	662.90	ENSINO MEDIO INCOMPLETO                                                                             	1157.07	257.78	MG	F	12	7770	0	69	67.44
942	12/02/2016	572.00	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	1090.17	251.88	MG	M	12	7770	0	62	57.41
943	12/08/2016	880.00	ENSINO MEDIO INCOMPLETO                                                                             	1789.89	391.39	CE	M	12	7770	0	61	48.83
944	27/10/2016	2310.85	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	2500.00	765.11	SP	F	12	7770	0	48	5.02
945	15/08/2016	582.21	ENSINO FUNDAMENTAL COMPLETO                                                                         	541.31	114.39	RS	F	12	7770	0	63	69.75
946	18/07/2016	577.96	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	1205.28	248.52	PB	F	12	7770	0	66	75.45
947	04/10/2016	1522.32	ENSINO MEDIO COMPLETO                                                                               	2500.00	562.33	SP	M	12	7770	0	56	41.63
948	13/10/2016	573.14	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	927.48	192.86	SP	F	12	7770	1	59	67.64
949	26/08/2016	573.38	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	500.00	118.21	SP	F	12	7770	1	57	70.49
950	10/08/2016	1165.23	ENSINO MEDIO COMPLETO                                                                               	734.88	157.24	ES	F	12	7770	1	64	80.20
951	05/10/2016	4217.86	ENSINO MEDIO COMPLETO                                                                               	543.83	117.63	RJ	M	12	7770	0	47	45.61
952	06/07/2016	1675.33	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1365.88	302.12	RS	M	12	7770	1	38	26.50
953	04/08/2016	910.34	ENSINO FUNDAMENTAL COMPLETO                                                                         	1244.51	278.37	SP	M	11	7770	0	61	78.31
954	25/05/2016	936.03	ENSINO MEDIO COMPLETO                                                                               	1769.56	418.75	SP	F	12	7770	0	42	46.75
955	25/07/2016	2987.40	ENSINO MEDIO COMPLETO                                                                               	1200.00	279.15	RJ	F	12	7770	0	54	45.06
